gwasAcronym	gwasTrait	gwasUrl	gwasFilename	gwasArticle	gwasPubmed	gwasDownloadDate	gwasAncestry	gwasExclude	gwasNotes	acknowledgements	inMultiReg	inGgoma	hasNewVersion
adhd	ADHD	https://www.med.unc.edu/pgc/results-and-downloads/data-use-agreement-forms/copy_of_ADHDEA2017_data_download_agreement	adhd_eur_jun2017.gz	Discovery of the first genome-wide significant risk loci for ADHD	30478444	2017-06-22	eur	0	Note publication requirements. Prior to 2017-06-22 it was not the public version, but daner_meta_filtered_NA_iPSYCH23_PGC11_sigPCs_woSEX_2ell6sd_EUR_Neff_70.meta.gz	-	0	0	0
adhd_or_asd	ADHD or ASD	-	adhdORasdWOid50_filtered.gz	Identification of shared and differentiating genetic architecture for autism spectrum disorder, attention-deficit hyperactivity disorder and case subgroups	36163277		eur	0			0	0	0
Alcoholism_2019_SanchezRoige	Alcoholism 2019			Genome-Wide Association Study Meta-Analysis of the Alcohol Use Disorders Identification Test (AUDIT) in Two Population-Based Cohorts	30336701	From-sanan	eur	0	-	-	0	0	0
als	Amyotrophic lateral sclerosis	http://als.umassmed.edu/images/GWAS_File.zip	GWAS_File.zip	Genome-wide Analyses Identify KIF5A as a Novel ALS Gene.	29566793	2019-01-29	eur	0	-	-	0	0	1
als2021	Amyotrophic lateral sclerosis (2021)	https://surfdrive.surf.nl/files/index.php/s/E5RetKw10hC3jXy	ALS_sumstats_EUR_only.txt.gz	Common and rare variant association analyses in amyotrophic lateral sclerosis identify 15 risk loci with distinct genetic architectures and neuron-specific biology	34873335	2022-01-06	eur	0	-	-	0	0	0
alz	Alzheimer's Disease	http://web.pasteur-lille.fr/en/recherche/u744/igap/igap_download.php	IGAP_stage_1.txt	Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease	24162737	2017-02-03	eur	0	-	-	1	1	1
alz2	Alzheimer's Disease 2	https://ctg.cncr.nl/documents/p1651/AD_sumstats_Jansenetal.txt.gz	AD_sumstats_Jansenetal.txt.gz	Genome-wide meta-analysis identifies new loci and functional pathways influencing Alzheimer’s disease risk	30617256	2019-01-29	eur	0	-	-	0	0	0
alz2noapoe	Alzheimer's Disease 2 no ApoE	https://ctg.cncr.nl/documents/p1651/AD_sumstats_Jansenetal.txt.gz	AD_sumstats_Jansenetal.txt.gz	Genome-wide meta-analysis identifies new loci and functional pathways influencing Alzheimer’s disease risk	30617256	2019-01-29	eur	0	-	-	0	0	0
alzKunkle	Alzheimer's Disease Kunkle	https://www.niagads.org/igap-rv-summary-stats-kunkle-p-value-data	Kunkle_etal_Stage1_results_snpWithRsOnly.txt.gz	Genetic meta-analysis of diagnosed Alzheimer’s disease identifies new risk loci and implicates AB, tau, immunity and lipid processing	30820047	2020-01-31	eur	0	-	-	0	0	0
alzKunkleNoapoe	Alzheimer's Disease Kunkle no ApoE	https://www.niagads.org/igap-rv-summary-stats-kunkle-p-value-data	Kunkle_etal_Stage1_results_snpWithRsOnly_noApoe.txt.gz	Genetic meta-analysis of diagnosed Alzheimer’s disease identifies new risk loci and implicates AB, tau, immunity and lipid processing	30820047	2020-01-31	eur	0	-	-	0	0	0
alzWightman	Alzheimer's Disease Wightman		PGCALZ2sumstatsExcluding23andMe.txt.gz	Largest GWAS (N=1,126,563) of Alzheimer’s Disease Implicates Microglia and Immune Cells	34493870	2021-09-15	eur	0		-	0	0	0
alzWightmanNoApoe	Alzheimer's Disease Wightman no ApoE		PGCALZ2sumstatsExcluding23andMe.txt.gz	Largest GWAS (N=1,126,563) of Alzheimer’s Disease Implicates Microglia and Immune Cells	34493870	2021-09-15	eur	0		-	0	0	0
alzBellenguez	Alzheimer's Disease Bellenguez		GCST90027158_buildGRCh38.tsv.gz	A genome-wide association study with 1,126,563 individuals identifies new risk loci for Alzheimer's disease	35379992	2022-05-23	eur	0			0	0	0
alzBellenguezNoApoe	Alzheimer's Disease Bellenguez noApoE		GCST90027158_buildGRCh38.tsv.gz	A genome-wide association study with 1,126,563 individuals identifies new risk loci for Alzheimer's disease	35379992	2022-05-23	eur	0			0	0	0
anorexia	Anorexia Neurosa	http://www.med.unc.edu/pgc/results-and-downloads	pgcAN2.2019-07.vcf.tsv	Genome-wide association study identifies eight risk loci and implicates metabo-psychiatric origins for anorexia nervosa	31308545	2020-07-19	eur	0			0	0	0
anx_cc	Anxiety case/control	https://www.med.unc.edu/pgc/files/resultfiles/angst.study.results.zip	anxiety.meta.full.cc.tbl	Meta-analysis of genome-wide association studies of anxiety disorders	26754954		eur	0			0	0	0
anx_fs	Anxiety factor scores	https://www.med.unc.edu/pgc/files/resultfiles/angst.study.results.zip	anxiety.meta.full.fs.tbl	Meta-analysis of genome-wide association studies of anxiety disorders	26754954		eur	0			0	0	0
anxiety_2021	Anxiety 			Common genetic associations between age-related diseases	33959723	From-sanan	eur	0	-	-	0	0	0
asd	Autism	NA	daner_iPSYCH-DBS_Aut_PGC1_Eur_ph3.gz	Identification of common genetic risk variants for autism spectrum disorder	30804558	2017-02-03	eur	0	-	-	0	0	0
asd_ipsych	Autism iPSYCH		daner_ASD_2022Aug_cleaned.gz	-	-	2023-03-15	eur	0	Note publication requirements	-	0	0	0
asd_vs_adhd	ADHD vs ASD	-	asdVSadhdWOid50_filtered.gz	Identification of shared and differentiating genetic architecture for autism spectrum disorder, attention-deficit hyperactivity disorder and case subgroups	36163277		eur	0			0	0	0
bdAndSczShared	BD & SCZ shared	http://www.med.unc.edu/pgc/results-and-downloads	BDSCZvsCONT.sumstats.gz	Genomic Dissection of Bipolar Disorder and Schizophrenia, Including 28 Subphenotypes	29906448		unk	0			0	0	0
bip	Bipolar Disorder	NA	daner_PGC_BIP32b_mds7a.gz	Genome-wide association study identifies 30 loci associated with bipolar disorder	31043756	NA	?	0	-	-	0	0	0
bip2	Bipolar Disorder 2	https://www.med.unc.edu/pgc/download-results/	daner_bip_pgc3_nm.gz	Genome-wide association study of over 40,000 bipolar disorder cases provides novel biological insights	34002096	2020-11-20	mixed	0	-	-	0	0	0
bip2_BDI	Bipolar Disorder type I	https://www.med.unc.edu/pgc/download-results/	daner_pgc3_BDI_nm.neff.gz	Genome-wide association study of over 40,000 bipolar disorder cases provides novel biological insights	34002096	2020-11-20	mixed	0	-	-	0	0	0
